| bank.n.bnc.1065            | unclear                                |
| bank.n.bnc.1065            | bank%1:14:00::                         |
| bank.n.bnc.1065            | bank%1:14:00::                         |
| bank.n.bnc.1065            | bank%1:14:00::                         |
| bank.n.bnc.110             | bank%1:14:00::                         |
| bank.n.bnc.110             | bank%1:14:00::                         |
| bank.n.bnc.110             | bank%1:14:00::                         |
| bank.n.bnc.110             | bank%1:14:00::                         |
| bank.n.bnc.1119            | bank%1:06:00::                         |
| bank.n.bnc.1119            | bank%1:14:00::                         |
| bank.n.bnc.1119            | unlisted-sense                         |
| bank.n.bnc.1119            | unlisted-sense                         |
| bank.n.bnc.1353            | bank%1:06:00::                         |
| bank.n.bnc.1353            | bank%1:14:00::                         |
| bank.n.bnc.1353            | bank%1:14:00::                         |
| bank.n.bnc.1353            | bank%1:14:00::                         |
| bank.n.bnc.1365            | bank%1:17:01::                         |
| bank.n.bnc.1365            | bank%1:17:01::                         |
| bank.n.bnc.1365            | bank%1:17:01::                         |
| bank.n.bnc.1365            | bank%1:17:01::                         |
| bank.n.bnc.1418            | bank%1:17:00::                         |
| bank.n.bnc.1418            | bank%1:17:00::                         |
| bank.n.bnc.1418            | bank%1:17:00::                         |
| bank.n.bnc.1418            | bank%1:17:00::                         |
| bank.n.bnc.1475            | bank%1:14:00::                         |
| bank.n.bnc.1475            | bank%1:14:00::                         |
| bank.n.bnc.1475            | bank%1:14:00::                         |
| bank.n.bnc.1475            | bank%1:14:00::                         |
| bank.n.bnc.1588            | bank%1:14:00::                         |
| bank.n.bnc.1588            | bank%1:14:00::                         |
| bank.n.bnc.1588            | unlisted-sense                         |
| bank.n.bnc.1588            | bank%1:14:00::                         |
| bank.n.bnc.1704            | bank%1:14:00::                         |
| bank.n.bnc.1704            | bank%1:14:00::                         |
| bank.n.bnc.1704            | bank%1:14:00::                         |
| bank.n.bnc.1704            | bank%1:14:00::                         |
| bank.n.bnc.1705            | bank%1:14:00::                         |
| bank.n.bnc.1705            | bank%1:14:00::                         |
| bank.n.bnc.1705            | bank%1:14:00::                         |
| bank.n.bnc.1705            | bank%1:14:00::                         |
| bank.n.bnc.1805            | bank%1:14:00::                         |
| bank.n.bnc.1805            | bank%1:14:00::                         |
| bank.n.bnc.1805            | bank%1:14:00::                         |
| bank.n.bnc.1805            | bank%1:14:00::                         |
| bank.n.bnc.1939            | bank%1:17:00::                         |
| bank.n.bnc.1939            | unclear                                |
| bank.n.bnc.1939            | unlisted-sense                         |
| bank.n.bnc.1939            | unclear                                |
| bank.n.bnc.1974            | bank%1:17:00::                         |
| bank.n.bnc.1974            | bank%1:17:01::                         |
| bank.n.bnc.1974            | bank%1:17:00::                         |
| bank.n.bnc.200             | bank%1:14:00::                         |
| bank.n.bnc.200             | bank%1:14:00::                         |
| bank.n.bnc.200             | bank%1:14:00::                         |
| bank.n.bnc.200             | bank%1:14:00::                         |
| bank.n.bnc.2023            | unlisted-sense                         |
| bank.n.bnc.2023            | bank%1:14:00::                         |
| bank.n.bnc.2023            | bank%1:06:00::                         |
| bank.n.bnc.2039            | bank%1:17:01::                         |
| bank.n.bnc.2039            | bank%1:17:01::                         |
| bank.n.bnc.2039            | bank%1:17:01::                         |
| bank.n.bnc.2061            | bank%1:14:00::                         |
| bank.n.bnc.2061            | bank%1:14:00::                         |
| bank.n.bnc.2061            | bank%1:14:00::                         |
| bank.n.bnc.2093            | bank%1:14:00::                         |
| bank.n.bnc.2093            | bank%1:14:00::                         |
| bank.n.bnc.2093            | bank%1:14:00::                         |
| bank.n.bnc.2478            | bank%1:06:00::                         |
| bank.n.bnc.2478            | bank%1:14:00::                         |
| bank.n.bnc.2478            | bank%1:06:00::                         |
| bank.n.bnc.259             | bank%1:06:00::                         |
| bank.n.bnc.259             | bank%1:14:00::                         |
| bank.n.bnc.259             | bank%1:14:00::                         |
| bank.n.bnc.259             | bank%1:14:00::                         |
| bank.n.bnc.2707            | bank%1:14:00::                         |
| bank.n.bnc.2707            | bank%1:06:00::                         |
| bank.n.bnc.2707            | bank%1:14:00::                         |
| bank.n.bnc.2833            | bank%1:14:00::                         |
| bank.n.bnc.2833            | bank%1:14:00::                         |
| bank.n.bnc.2833            | bank%1:14:00::                         |
| bank.n.bnc.2911            | bank%1:14:00::                         |
| bank.n.bnc.2911            | bank%1:14:00::                         |
| bank.n.bnc.2911            | bank%1:14:00::                         |
| bank.n.bnc.2939            | bank%1:17:01::                         |
| bank.n.bnc.2939            | bank%1:17:01::                         |
| bank.n.bnc.2939            | bank%1:17:01::                         |
| bank.n.bnc.3108            | bank%1:17:01::                         |
